名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数,简介
相爱相亲,2017,张艾嘉,"张艾嘉,田壮壮,郎月婷,宋宁峰,吴彦姝,耿乐,谭维维,刘若英,王志文,李雪健,马嘉祺,张艺瀚","剧情,爱情,家庭","中国大陆,中国台湾",汉语普通话,8.4,132826,37.3%,46.3%,14.6%,1.5%,0.3%,44705,岳惠英（张艾嘉 饰）的母亲去世之后，惠英最大的念想就是将远葬在乡下的父亲的坟迁回城里，和母亲葬在一起，这个念头让她和父亲的原配姥姥（吴彦姝 饰）之间爆发了巨大的矛盾。迁坟的事成为了惠英的心结，亦让她和丈夫孝平（田壮壮 饰）之间的感情产生了裂痕。
爱在暹罗 รักแห่งสยาม,2007,楚克·萨克瑞科,"维特维斯特·海伦亚沃恩酷,马里奥·毛瑞尔,赖拉·邦雅淑,坎雅·拉坦娜佩琦,辛扎伊·本班尼,松希·努诺卡空希,姘潘·布拉娜嫔,阿缇·尼永库,吉拉育·拉翁马尼,查妮达帕·蓬信皮帕","剧情,爱情,同性",泰国,泰语,8.3,260543,37.4%,41.7%,18.8%,1.7%,0.3%,52544,Mew（Witwisit Hirunwongkul饰）和Tong（Mario Maurer饰）是一对小伙伴，一场悲剧却使二人不得不分开：Tong的姐姐阿红在一次野外旅行中不幸失踪，Tong的父母迅速决定离开这个伤心地。
我爱你 그대를 사랑합니다,2011,秋昌旼,"宋在浩,李顺载,尹秀晶,金秀美,宋智孝,吴达洙","剧情,爱情",韩国,韩语,9.0,102262,61.3%,30.7%,7.2%,0.6%,0.2%,30238,飘雪的坡道上，送牛奶的老头子金万皙（李顺载 饰）邂逅了收废品的老太太宋怡芬（尹秀晶 饰）。他们的前半生各自背负着艰辛的人生：万皙年轻时我行我素，直到妻子病逝才深觉愧疚；怡芬被心爱的男人抛弃在城市角落，孩子夭折后至老未嫁。两位老人在每天凌晨寂静的街道上相遇，孤独而苦难的生活令他们渐渐靠近。在万皙孙女妍儿（宋智孝 饰）的穿针引线下，如初恋般的悸动萌发在了彼此心中。万皙的朋友、停车场管理员张军峰（宋在河 饰）一直耐心的看护着患有老年痴呆症的老伴。直到有一天，军峰得知老伴已患绝症。目睹她一次次痛苦病发，心如刀绞的军峰做出了悲伤的决定……
里约大冒险 Rio,2011,卡洛斯·沙尔丹哈,"杰西·艾森伯格,安妮·海瑟薇,乔治·洛佩兹,罗德里戈·桑托罗,凯特·德尔·卡斯蒂洛,卡洛斯·庞丝,伯纳多·德·保拉","喜剧,动画,冒险",美国,"英语,葡萄牙语",8.3,269854,34.0%,48.7%,16.4%,0.9%,0.1%,57097,阿蓝（Jesse Eisenberg 配音）是一只世界上极其稀少的蓝色金刚鹦鹉，当他还是雏鸟时，便被可鄙的偷猎者从里约的热带丛林中掳到美国。阴差阳错，他变成了小女孩琳达的宠物，从此相伴多年，如今的阿蓝俨然一个养尊处优的宅男，甚至到忘记了如何飞行。某天，名叫图里奥（Rodrigo Santoro 配音）的鸟类学家经过琳达（Leslie Mann 配音）经营的书店，他被阿蓝所震惊，并希望能将阿蓝带回里约，与世上仅存的另外一只雌鸟繁衍后代。
城市之光 City Lights,1931,查理·卓别林,"查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李,亨利·伯格曼,珍·哈露","剧情,喜剧,爱情",美国,英语,9.3,81610,69.1%,26.4%,4.1%,0.2%,0.1%,14002,他是一个流浪汉（查理·卓别林 Charles Chaplin 饰），身无分文，遇上了双目失明的卖花女，却不忍袖手旁观。他想尽办法去凑够费用，供卖花女治病。一天，他搭救了一个富翁，富翁当晚和他称兄道弟，第二天却翻脸不认人。本来打算向他求助的主意行不通了。流浪汉去参加拳击比 赛，以图获得奖金，却输得一败涂地。谁知这时重遇富翁，二人不计前嫌，富翁答应出钱资助卖花女。在交给流浪汉1000元后，富翁遭到偷袭，身上剩下的钱被强盗抢走。流浪汉奋不顾身去追赶，却因为误会被警察押回警局坐牢。另一方面，卖花女凭借流浪汉的资助重获光明，开了一家体面的花店。
云图 Cloud Atlas,2012,汤姆·提克威,"汤姆·汉克斯,哈莉·贝瑞,吉姆·布劳德本特,雨果·维文,吉姆·斯特吉斯,裴斗娜,本·卫肖,詹姆斯·达西,周迅,凯斯·大卫,大卫·吉亚西,苏珊·萨兰登,休·格兰特","剧情,科幻,悬疑","德国,美国,中国香港,中国大陆,新加坡","英语,西班牙语",8.1,337570,32.8%,42.8%,20.5%,3.0%,0.9%,98565,1850年，南太平洋，美国公证人亚当·尤因（吉姆·斯特吉斯 Jim Sturgess 饰）在船上被不明寄生虫病折磨，他用日记记录下自己所见所闻；1931年，苏格兰，落魄青年罗伯特·弗罗比舍（本·卫肖 Ben Whishaw 饰）为音乐大师记录曲谱，受到半本旅行日记的启发创作出了恢宏壮阔的《云图六重奏》；1975年，美国加州，小报记者路易莎·雷（哈莉·贝瑞 Halle Berry 饰）冒着生命危险调查一桩核电站丑闻，在老唱片店她被一首不知名的乐章打动；2012年，英国伦敦，被囚禁在养老院的出版商蒂莫西·卡文迪什（吉姆·布劳德本特 Jim Broadbent 饰）揣着一叠由女记者写成的纪实文学，打算将自己的"越狱经历"拍成电影；乌托邦未来，首尔，餐厅服务员克隆人星美-451（裴斗娜 Doona Bae 饰）开始形成自我意识和反抗人类，她在人类图书馆看了一...
太阳照常升起,2007,姜文,"房祖名,周韵,姜文,黄秋生,陈冲,孔维,崔健,李加民","剧情,奇幻",中国大陆,"汉语普通话,温州话,俄语,维吾尔语",8.2,172669,35.0%,43.0%,18.6%,2.6%,0.8%,40161,姜文蛰伏七年之后的又一力作，由四个充满魔幻现实主义风格的小故事组成。
黄海 황해,2010,罗泓轸,"河正宇,金允石,郑满植,李哲民 ,李艾","剧情,动作,犯罪","韩国,美国,中国香港","韩语,汉语普通话",8.5,139259,38.6%,47.8%,12.4%,0.9%,0.2%,30074,为了能让妻子去韩国打工，出租车司机久南（河正宇 Jeong-woo Ha 饰）不惜借6万块钱的巨款。妻子已经有六个月没有消息了，久南每日只能用酒精和赌博来麻醉自己的神经。一天，在债主的介绍下，久南认识了绵先生。绵先生不仅愿意帮助他偷渡到韩国寻找妻子，而且愿意为他还掉所有 的债务，条件是让他在首尔杀一个人。几经波折，久南最终渡过茫茫黄海到达首尔，然而要杀死被严密保护的对象并不那么容易，久南一边开始周密的计划，一边开始到处打听妻子的下落。妻子就像从人间消失了一样音讯全无，而并没有杀人的久南却因出现在凶案现场而成为警方通缉的疑犯。此时，由于怕买凶杀人的事情暴露，从延边赶来的绵先生也极力致久南于死地，久南几乎陷入绝望的境地……
勇闯夺命岛 The Rock,1996,迈克尔·贝,"肖恩·康纳利,尼古拉斯·凯奇,艾德·哈里斯,约翰·斯宾塞,大卫·摩斯,威廉·弗西斯,迈克尔·比恩,瓦内萨·马赛尔,约翰·C·麦金雷,Gregory Sporleder,托尼·托德,博基姆·伍德拜因,Jim Maniaci,格雷格·科林斯,布伦丹·凯利,史蒂夫·哈里斯,丹尼·努齐,克莱尔·弗兰妮,托德·路易斯,David Bowe,Dennis Chalker,Billy Devlin,因格·内哈斯,约翰·拉夫林,哈利·哈姆弗瑞斯,霍华德·普拉特,威利·加森,Thomas J. Hageboeck,德怀特·希克斯,安东尼·克拉克,雷蒙德·奥康纳,路奈尔·坎贝尔,Sam Whipple,汤姆·托尔斯,安东尼·吉德拉,吉姆·卡维泽,约翰·伊诺斯三世,布克·卡特里安,马修杰姆斯居尔布兰松,斯坦利·安德森,山德·贝克利,Richard Conti,雷蒙德·克鲁斯,里克·德拉辛,大卫·马歇尔·格兰特,菲利普·贝克·霍尔,迈克尔·罗斯,杰洛米诺·斯芬克斯,Ezra Stanley,凯文·韦斯曼,斯图亚特·维尔森","动作,冒险",美国,英语,8.6,200199,43.6%,43.8%,11.8%,0.7%,0.1%,25522,美国海军陆战队法兰（艾德•哈里斯 Ed Harris 饰）将军因不满政府对退伍、战死军人及其家属的补偿和福利不满，率领部下将美军最新研制的生化武器――VX毒气弹――偷运到罗克岛，劫持了81名正在该岛观光的游客，控制了该岛。要挟美国政府48小时内支付1亿元赎金否则将杀死人质并用毒气弹袭击旧金山。
笑傲江湖2：东方不败 笑傲江湖II東方不敗,1992,程小东,"李连杰,林青霞,关之琳,李嘉欣,李子雄,余安安,袁洁莹,刘洵,任世官,钱嘉乐","剧情,爱情,武侠,古装",中国香港,粤语,8.4,135230,37.6%,46.7%,14.7%,0.9%,0.2%,19531,令狐冲（李连杰饰）在按计划与日月神教的朋友会面后，将和小师妹岳灵珊（李嘉欣饰）等其他华山派师兄弟赴牛背山归隐退出江湖。路途中意外发现练就"葵花宝典"的东方不败（林青霞饰），但令狐冲不认识东方不败，误将对方当成一位美貌女子。后来几次相遇，还一道饮酒吟诗。
少年时代 Boyhood,2014,理查德·林克莱特,"埃拉·科尔特兰,帕特丽夏·阿奎特,伊桑·霍克,罗蕾莱·林克莱特,史蒂芬·切斯特·普林斯,利比·维拉利,马可·佩雷拉,杰米·霍华德,安德鲁·维拉利尔,谢恩·格雷厄姆,苔丝·艾伦,戴维·布莱克维尔,塔玛拉·若兰恩,埃薇·汤普森,布拉德·霍金斯,尼克·克劳斯,梅根·迪瓦恩,詹妮·图利,理查德·琼斯,山姆·狄龙,佐伊·格瑞艾姆,理查德·罗比查乌克斯,克里斯·杜贝克,安德里亚·陈,莫娜·李·富尔茨,比尔·怀斯,马克西米利安·麦克纳马拉,泰勒·韦弗,杰西·梅希勒","剧情,家庭",美国,"英语,西班牙语",8.5,179853,43.0%,41.6%,13.7%,1.3%,0.3%,50613,本片讲述一个男孩从6岁到18岁的成长历程，导演理查德·林克莱特花了12年时间来完成这部作品。它仔细描画了孩子的成长过程，及其父母亲各个方面的变化，可以让观众细致入微地体会岁月流逝的痕迹。为了不打扰主演艾拉·萨尔蒙的正常生活，拍摄均在他暑假期间的简短时间内完成。
我是谁：没有绝对安全的系统 Who Am I - Kein System ist sicher,2014,巴伦·博·欧达尔,"汤姆·希林,埃利亚斯·穆巴里克,沃坦·维尔克·默林,汉娜·赫茨施普龙,崔娜·蒂虹,李奥那多·卡劳,小安托万·莫诺特,利奥波德·霍尔农,卡塔琳娜·马茨,阿尔恩特·施韦林·索瑞","悬疑,惊悚,犯罪",德国,"德语,英语",8.1,131874,29.8%,50.1%,18.3%,1.6%,0.3%,30125,本杰明是一个这样的人：三次元现实世界中，他是一个十足的屌丝&Loser，难以找到存在感，没有时尚感、没有朋友，也没有女朋友。但是二十五岁的他却是一个的电脑极客，拥有对数字技术不可思议的天赋。而影片中另一位主人公马克思是一个渴望"黑客世界"的潜在革命者，他注意到了本杰明在 网络方面的惊人才华，马克思、本杰明和神童斯蒂芬以及保罗私人组建了黑客组织CLAY，并且为了正义入侵国际安全系统。他们凭借高超黑客技术的所为引起了德国秘密警察组织、欧洲刑警组织的重视，并且一个邪恶的黑客将他们视作威胁，想要将他们除去。本杰明因此感觉到自己正在面临生死攸关的考验，并且他们的目标似乎不值得他付出如此大的代价……
金福南杀人事件始末 김복남 살인사건의 전말,2010,张哲洙,"徐英姬,池成媛,朴政学,白秀莲,黄民浩,제민,李芝恩,蔡诗贤,裴晟祐","剧情,惊悚,犯罪",韩国,韩语,8.5,143145,39.5%,47.9%,11.6%,0.8%,0.2%,33704,在首尔金融业独自打拼的单身女子郑海媛（池成媛 饰）自然承受来自方方面面的巨大压力，她的情绪越来越紧张，最终不得不被迫休假。利用假期，海媛回到阔别已久的家乡无岛。这里风景秀美，民风粗犷甚至有些野蛮，男尊女卑的现象依然十分严重。海媛重逢了童年的玩伴金福南（徐英姬 饰），这是一个温和开朗、任劳任怨的女人，但是她的丈夫和家人都视其为猪狗，任意欺负和凌辱。福南希望女儿小燕拥有更好的人生，只是在这个蛮荒所在，人的尊严被肆意践踏。巨大的压力下，逆来顺受的福南化身为悲剧的复仇女王……
英国病人 The English Patient,1996,安东尼·明格拉,"拉尔夫·费因斯,朱丽叶·比诺什,威廉·达福,克里斯汀·斯科特·托马斯,纳威恩·安德利维斯,科林·费尔斯,朱利安·沃德姆,尤尔根·普洛斯诺,凯文·沃特利,克里夫·梅利森,尼诺·卡斯泰尔诺沃,彼得·吕尔林,乔迪·约翰逊,托蕊·海金森,塞巴斯蒂安·席佩尔,雷蒙德·库特哈德","剧情,爱情,战争","美国,英国","英语,德语,意大利语,阿拉伯语",8.5,225338,41.1%,43.7%,13.8%,1.1%,0.3%,43164,一架英国飞机在飞越撒哈拉沙漠时被德军击落，机师由于受伤，想不起自己是谁，因此被叫做"英国病人"。汉娜是战地医院的一名护士，她决定独身留下来照顾那个英国病人。他们停留的地方是意大利的一个废弃的修道院，远离战争的喧嚣，显得宁静而闲逸，"英国病人"静静的躺在房间的木床上，窗头 的一本旧书渐渐唤起了他的思绪……
追风筝的人 The Kite Runner,2007,马克·福斯特,"赫立德·阿卜杜拉,阿托莎·利奥妮,肖恩·托布 ",剧情,"美国,中国大陆,英国,阿富汗","英语,达里语,普什图语,乌尔都语,俄语",8.2,131507,32.6%,47.4%,17.7%,1.9%,0.4%,30956,2000年美国加利福利亚，知名作家阿富汗人Amir(Khalid Abdalla 饰)接到一个电话，将他带回了童年的岁月……
末路狂花 Thelma & Louise,1991,雷德利·斯科特,"吉娜·戴维斯,苏珊·萨兰登,哈威·凯特尔,迈克尔·马德森,布拉德·皮特","剧情,惊悚,犯罪","美国,法国",英语,8.8,155957,49.4%,40.1%,9.7%,0.7%,0.2%,33933,该片被认为是向男权社会发出抗争的女性主义电影代表作。
午夜巴黎 Midnight in Paris,2011,伍迪·艾伦,"欧文·威尔逊,玛丽昂·歌迪亚,瑞秋·麦克亚当斯,汤姆·希德勒斯顿,凯西·贝茨,艾德里安·布洛迪,蕾雅·赛杜,麦克·辛,寇瑞·斯托尔,妮娜·阿里安达,米密·肯尼迪,柯特·富勒,卡拉·布吕尼,加德·艾尔马莱,艾丽森·皮尔,奥利维尔·雷堡汀","剧情,爱情,奇幻","西班牙,美国,法国","英语,法语,西班牙语,德语",8.3,230416,33.8%,47.4%,17.0%,1.5%,0.3%,71827,吉尔（欧文•威尔逊 Owen Wilson 饰）携未婚妻伊内兹（瑞秋•麦克亚当斯 Rachel McAdams 饰）陪着岳父岳母来巴黎度假。他希望留在巴黎完成自己的第一部小说，但是伊内兹及其父母坚决反对。在一次用餐时，伊内兹遇到了昔日同学保罗夫妇，他们一同出游。保罗到处卖弄，跟导游（卡拉•布吕尼 Carla Bruni 饰）喋喋不休，令吉尔反感不已。午夜时分，他独自走在巴黎的街头，却被一辆路过的马车吸引住了。他随马车来到了一个名流派对，阴差阳错地结识了海明威、毕加索、菲茨杰拉德、达利（阿德里安•布洛迪 Adrien Brody 饰）、斯坦因（凯西•贝茨 Kathy Bates 饰）等，而且他更是迷恋上了毕加索和莫迪尼亚里的情人阿德里亚娜（玛丽昂•歌迪亚 Marion Cotillard 饰）。他乐此不疲地穿越，而由此发生的一切都让他无可救药地爱上了巴...
名侦探柯南：通向天国的倒计时 名探偵コナン 天国へのカウントダウン,2001,儿玉兼嗣,"高山南,山崎和佳奈,神谷明,山口胜平,林原惠美,岩居由希子,高木涉,大谷育江,堀之纪,立木文彦,茶风林,绪方贤一,井上和彦,松井菜樱子,藤田淑子,渡部猛,久川绫,桥本晃一,小杉十郎太,中岛聪彦,玉川纱己子,千叶一伸,宇垣秀成,菅原淳一,一条和矢,小西克幸,井上隆之,百百麻子,赤木美绘,永井一郎","动作,动画,悬疑,惊悚",日本,日语,8.6,90675,42.1%,44.9%,12.4%,0.5%,0.1%,8359,柯南、灰原及少年侦探队成员步美、光彦、元太随博士这日露营完毕，绕道参观西多摩市新建于富士山前的日本第一双塔摩天大楼，毛利小五郎恰也应双塔所有者、他的学妹常盘美绪之邀，携小兰、园子参加开幕典礼。美绪介绍下，他们认识以画富士山闻名的画师如月峰水、市议员大木岩松、双塔的设计者风间英彦（森谷帝二的弟子，第一弹《引爆摩天楼》中，森谷曾向新一挑战）、天才程序员原。期间灰原的举动异常。
名侦探柯南：引爆摩天楼 名探偵コナン 時計じかけの摩天楼,1997,儿玉兼嗣,"高山南,山口胜平,山崎和佳奈,神谷明,盐泽兼人,绪方贤一,茶风林,岩居由希子,高木涉,大谷育江,藤本让,藤城裕士,宫寺智子,藤井佳代子,山路和弘,平尾仁,谷川俊,山崎巧,千叶一伸,真山亚子,一条和矢,百百麻子,川谷修士,小堀裕之,野村明大,石田太郎","喜剧,动画,悬疑,家庭,冒险",日本,"英语,意大利语,日语",8.4,93857,35.1%,49.0%,15.2%,0.7%,0.1%,8601,知名建筑设计师森谷帝二这日邀请新一参加在他府上举办的茶会，柯南只得电话拜托小兰。柯南、小兰及毛利小五郎三人未入森府，已被绝对对称的宏伟建筑吸引。衣香鬓影的茶会上，森谷帝二令人诧异地大声攻击年轻设计师，讲建筑的美学准则要被他们破坏殆尽。柯南在规定时间内将他出给众宾客的难题破解，被获准和小兰一起参观陈有他设计图的展览馆，交谈中，他感慨30多岁初成名时的作品不够对称称不上完美，并从小兰口中打探到她要与新一在米花大楼约会为新一庆生的诸多细节。
东邪西毒：终极版 東邪西毒終極版,2008,王家卫,"张国荣,林青霞,梁朝伟,张学友,张曼玉,刘嘉玲,梁家辉,杨采妮,白丽","剧情,动作,爱情","中国香港,中国大陆,中国台湾","粤语,汉语普通话",8.7,136958,50.9%,37.3%,10.3%,1.0%,0.4%,23896,经过修复和重新剪辑的终极版《东邪西毒》。片子取材于金庸的武侠神作《射雕英雄传》，但故事的主线变成了原著中不受人待见的欧阳锋（张国荣 饰）。欧阳锋因为昔日恋人（张曼玉 饰）赌气嫁给兄长而离开家乡白驼山，来到大漠中开了一家专门介绍杀手的酒舍。在沙漠的自我放逐中他重逢了好友黄药师（梁家辉 饰），遇见了精分的慕容嫣（林青霞 饰），深情的想念妻子桃花（刘嘉玲 饰）却不想相见的夕阳武士（梁朝伟 饰），倔强的复仇孤女（杨采妮 饰），初来闯荡江湖的不穿鞋的洪七（张学友 饰）。在经历了他人的生死、感情纠葛之后，欧阳锋得知了恋人的死讯，一切得到释然后他烧毁了酒舍，离开了沙漠……
八恶人 The Hateful Eight,2015,昆汀·塔伦蒂诺,"塞缪尔·杰克逊,库尔特·拉塞尔,詹妮弗·杰森·李,沃尔顿·戈金斯,德米安·比齐尔,蒂姆·罗斯,迈克尔·马德森,布鲁斯·邓恩,詹姆士·帕克斯,查宁·塔图姆,丹娜·格瑞尔,佐伊·贝尔,李·霍斯利","剧情,犯罪,西部",美国,"英语,法语,西班牙语",8.5,164920,39.4%,46.4%,12.8%,1.1%,0.3%,38799,寒冷的怀俄明州山谷中，一辆马车载着赏金猎人"绞刑者"约翰·鲁斯（库尔特·拉塞尔 Kurt Russell 饰）及其价值一万美元的猎物黛西·多摩格（詹妮弗·杰森·李 Jennifer Jason Leigh 饰）踏雪而行。途中，黑人赏金猎人马奎斯·沃伦少校（塞缪尔·杰克逊 Samuel L. Jackson 饰）和新人警长克里斯·马尼克斯（沃尔顿·戈金斯 Walton Goggins 饰）相继登上马车，红石镇是他们共同的目标。由于风雪太大，马车停在了米妮男装店，然而熟悉的店主人不知去向，却另有四名不速之客百无聊赖地待在店里。约翰时刻担心他人抢走猎物，马奎斯警惕地扫视面前的陌生人们，多嘴多舌的克里斯不时为紧张的气氛中加油添醋，黛西则似乎等待更大的风暴到来。
幸福的拉扎罗 Lazzaro felice,2018,阿莉切·罗尔瓦赫尔,"阿德里亚诺·塔尔迪奥洛,阿涅塞·格拉齐亚尼,卢卡·奇科瓦尼,阿尔芭·洛尔瓦彻,塞尔希·洛佩斯,纳塔利诺·巴拉索,托马索·拉尼奥,尼可莱塔·布拉斯基,达里亚·帕斯卡·阿托利尼,达维德·登奇,帕斯夸丽纳·斯昆恰","剧情,奇幻","意大利,瑞士,法国,德国",意大利语,8.6,78862,44.3%,42.0%,11.6%,1.5%,0.6%,26252,拉扎罗（阿德里亚诺·塔尔迪奥洛 饰）是一位内心单纯的年轻农民，坦克雷迪（卢卡·奇科瓦尼 饰）则是一位骄横的年轻贵族。他在Inviolata这座与世隔绝的小城内生活，这个城镇则由侯爵夫人阿诺西纳·德·卢娜（尼可莱塔·布拉斯基 饰）所统治。年轻的农民和年轻的贵族相遇并成为好友。某天，坦克雷迪自导自演了一场绑架戏码，希望骗到母亲的赎金，不料最终引来了警察……
华盛顿邮报 The Post,2017,史蒂文·斯皮尔伯格,"梅丽尔·斯特里普,汤姆·汉克斯,莎拉·保罗森,鲍勃·奥登科克,崔西·莱茨,布莱德利·惠特福德,布鲁斯·格林伍德,马修·瑞斯,爱丽森·布里,凯莉·库恩,杰西·普莱蒙,大卫·克罗斯,扎克·伍兹,帕特·希利,约翰·鲁,里克·霍姆斯,菲利普·卡斯诺夫,杰茜·缪勒,斯塔克·桑德斯,迈克尔·西里尔·克赖顿,威尔·丹顿,迪尔德丽·罗夫乔,迈克尔·斯图巴","剧情,传记,历史","美国,英国",英语,8.3,87066,32.1%,51.2%,15.3%,1.0%,0.3%,24776,关于"五角大楼文件"泄密案（Pentagon Papers）的新片《The Post》，将史蒂文·斯皮尔伯格、汤姆·汉克斯与梅丽尔·斯特里普聚到了一起。斯皮尔伯格将作为导演与制片人身份参与制作，而影片的男女主角分别是汉克斯与梅姨。
小委托人 어린 의뢰인,2019,张圭声,"李东辉,柳善,高素熙,徐正妍,元贤俊,崔明彬,李柱原,李娜拉,郑浚远,李玄均,李智勋,李路云,李春,郑熙泰","剧情,犯罪",韩国,韩语,8.0,34990,27.9%,49.3%,20.4%,1.9%,0.4%,9356,律师正烨（李东辉饰）一心只想着功成名就，对身边人和事不闻不问的他，却被多彬（崔明彬饰）和敏俊（李周元饰）小姐弟所牵绊。就在收到盼望已久的著名律师事务所录取通知的那一刻，10岁的多彬向正烨自白称杀害了自己7岁的弟弟，而这一切又与多彬的母亲智淑（柳善饰）有关。感到后悔和抱歉正烨，决定揭开多彬母亲隐藏的秘密……
铁甲钢拳 Real Steel,2011,肖恩·利维,"休·杰克曼,达科塔·高尤,凯文·杜兰,安东尼·麦凯,伊万杰琳·莉莉,霍普·戴维斯,詹姆斯·瑞布霍恩,奥嘉·方达","剧情,动作,科幻,运动","美国,印度",英语,8.2,218040,32.7%,47.8%,17.6%,1.6%,0.3%,51629,2020年，未来一个并不遥远的年份，整个世界已经发生了许多变化。在那个时代，人类拳击不再被允许，取而代之的是各种机器人走上了擂台，继续这项火爆的运动，愉悦大众。前拳击手查理·肯顿（休·杰克曼 Hugh Jackman 饰）似乎并不那么落寞，他很快适应了时代的发展，带着经过训练的机器人一次次走上拳台。但是倒霉事接二连三，他先是意外落败，债台高筑，继而接到前女友突然过世的消息，并见到了从未谋过面的儿子——11岁男孩麦克斯（达科塔·高尤 Dakota Goyo 饰）。
小岛惊魂 The Others,2001,亚历杭德罗·阿梅纳瓦尔,"妮可·基德曼,菲奥纽拉·弗拉纳根,克里斯托弗·埃克莱斯顿,阿拉济纳·曼恩,詹姆斯·本特利,埃里克·赛克斯,伊莲·卡西迪,勒妮·阿舍森,戈登·雷德,基思·艾伦,米歇尔·费尔利","剧情,悬疑,恐怖","美国,西班牙,法国,意大利",英语,8.1,187877,28.7%,51.1%,18.7%,1.3%,0.2%,37105,二战结束，格蕾丝(尼科尔•基德曼)在英伦的小岛上独自抚养着一对儿女，耐心等待着丈夫从战场归来。儿女怕光，受到光照会发病，因此家里的窗帘常年拉得严严实实。就在这样一间阴暗的古宅里，格蕾丝迎来了三个新仆人。这三个人到来之后，却让格蕾丝寒了心——窗帘经常被拉开，门无故打开，钢琴自动发声，而她的女儿说，在房间里经常可以见到陌生男人。格蕾丝陷入了精神紧张的状态，她不明白怪事为何屡屡发生，不明白丈夫为何迟迟未归。而她最后才醒悟，所有的惊恐，其实都来源自身，但是事情已经不可逆转……
佛罗里达乐园 The Florida Project,2017,肖恩·贝克,"布鲁克琳·普林斯,布丽娅·维纳特,威廉·达福,克里斯托弗·里维拉,梅拉·穆德,瓦莱丽亚·科托,乔希·奥利沃,艾登·马利克,爱德华·帕根,卡赖伯·兰德里·琼斯,克里斯托·尼科尔·沃茨,桑迪·凯恩,吉姆·R·科曼,安德鲁·罗马诺,卡罗丽娜·格拉波瓦,特里·艾伦·琼斯,卡伦·卡拉古利安,邹时擎,祖普·卡塔纳,梅肯·布莱尔,卡尔·布拉德菲尔德","剧情,儿童",美国,英语,8.0,75191,26.6%,51.7%,19.3%,1.9%,0.5%,22992,影片讲述了一个早熟的六岁女孩Moonee和她的朋友们的故事，Moonee和她的年轻妈妈Halley住在奥兰多一个廉价的社区汽车旅馆里，过着艰难的生活，在暑假里，Moonee和她的朋友们展开了一系列冒险。
阳光小美女 Little Miss Sunshine,2006,乔纳森·戴顿,"阿比盖尔·布雷斯林,托妮·科莱特,格雷戈·金尼尔,保罗·达诺,史蒂夫·卡瑞尔,艾伦·阿金,布莱恩·科兰斯顿,迪恩·诺里斯","剧情,喜剧,家庭",美国,英语,8.3,216228,34.1%,47.7%,16.6%,1.3%,0.2%,44583,7岁的奥利芙，戴眼镜，小肚腩，做一夜成名的美梦，坚信自己有朝一日能当选美国小姐。
月球 Moon,2009,邓肯·琼斯,"山姆·洛克威尔,凯文·史派西,多米妮克·麦克艾丽戈特,卡雅·斯考达里奥,本尼迪克特·王,马特·贝里,马尔科姆·斯图尔特,罗宾·查克","剧情,科幻,悬疑",英国,"英语,西班牙语",8.5,198938,40.3%,46.7%,11.9%,0.8%,0.2%,41064,未来世界，随着科技的飞速进步，地球的污染也越来越严重。为了遏制这种现状，一家名为月能工业有限公司的企业应运而生。该公司致力于月球能源的开发，通过采集氦-3来满足地球对能源的需求。月能公司在月球设有基地，山姆·贝尔（山姆·洛克威尔 Sam Rockwell 饰）正是该基地 上唯一的工作人员。山姆是公司聘用的合同工，他已在月球孤零零地生活3年，陪伴他的只有智能机器人戈蒂（凯文·斯派西 Kevin Spacey 饰）。枯燥乏味的生活令山姆归心似箭，在还有两周就离开月球的时候，山姆偶然遭遇一起事故。醒来后的他发现戈蒂似乎对其有所隐瞒，公司高层也拒绝他的回程请求。山姆借机逃出基地，却在事故发生地点发现另一个自己……
神探夏洛克：最后的誓言 Sherlock: His Last Vow,2014,尼克·赫伦,"本尼迪克特·康伯巴奇,马丁·弗瑞曼,阿曼达·阿宾顿,拉斯·米克尔森,琳赛·邓肯","剧情,悬疑,犯罪",英国,英语,8.9,28887,53.2%,37.3%,8.8%,0.6%,0.2%,1818,本集因以电视电影形式报艾美奖评选而被单独列出，改编自原著《米尔沃顿》。华生受朋友请求来到一个年轻人吸毒聚集地，没想到在这里居然遇到夏洛克。华生把夏洛克带回贝克街，惊讶的发现夏洛克有了女友，这位女友正是自己婚礼上的伴娘洁琳。但随后华生发现，夏洛克之所以和自己的伴娘约会是因为在查的案件。夏洛克假装要求婚，混进了讹诈专家马格努森的办 公室，华生也和夏洛克一起，然而就在夏洛克发现马格努森被人威胁的时候，威胁者转过头，这个人竟然是华生的新婚妻子玛丽……
雏菊 데이지,2006,刘伟强,"全智贤,郑雨盛,李成宰,姜大卫,林迪安","剧情,爱情","韩国,中国香港","韩语,英语,汉语普通话",8.1,219390,29.6%,46.1%,22.1%,1.9%,0.3%,39588,阿姆斯特丹，两个男人爱上了同一个女人，注定了一段纠缠的故事。惠瑛（全智贤饰）是画家，每天到广场帮路人画肖像，而像她一样风雨不改的，还有某人送来的一盘雏菊。每天雏菊总是准时送到，让她心里悸动而好奇。
